,text_raw,text_clean,text_raw_len,vader,textblob,distilbert
16,"Down, down, down.","down, down, down.",17,0.0,-0.15555555555555559,-0.9901339411735535
17,Would the fall NEVER come to an end!,would the fall never come to an end!,36,0.0,0.0,0.9074238538742065
18,"`I
wonder how many miles I've fallen by this time?'",'i wonder how many miles i have fallen by this time?',51,-0.3612,0.5,-0.9983678460121155
19,she said aloud.,she said aloud.,15,0.0,0.0,0.983294665813446
20,`I must be getting somewhere near the centre of the earth.,i must be getting somewhere near the centre of the earth.,58,0.0,0.1,0.951549768447876
21,"Let
me see:  that would be four thousand miles down, I think--' (for,
you see, Alice had learnt several things of this sort in her
lessons in the schoolroom, and though this was not a VERY good
opportunity for showing off her knowledge, as there was no one to
listen to her, still it was good practice to say it over) `--yes,
that's about the right distance--but then I wonder what Latitude
or Longitude I've got to?'","let me see: that would be four thousand miles down, i think--' (for, you see, alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a very good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '--yes, that is about the right distance--but then i wonder what latitude or longitude i have got to?",417,0.5934,0.11218559218559218,-0.8230613470077515
22,"(Alice had no idea what Latitude was,
or Longitude either, but thought they were nice grand words to
say.)","(alice had no idea what latitude was, or longitude either, but thought they were nice grand words to say.)",106,0.7964,0.55,0.9853025674819946
23,Presently she began again.,presently she began again.,26,0.0,0.0,0.9912208318710327
24,"`I wonder if I shall fall right
THROUGH the earth!",i wonder if i shall fall right through the earth!,50,0.0,0.3571428571428571,0.961776077747345
25,"How funny it'll seem to come out among the
people that walk with their heads downward!",how funny it will seem to come out among the people that walk with their heads downward!,86,0.4926,0.3125,0.9964804649353027
26,"The Antipathies, I
think--' (she was rather glad there WAS no one listening, this
time, as it didn't sound at all the right word) `--but I shall
have to ask them what the name of the country is, you know.","the antipathies, i think--' (she was rather glad there was no one listening, this time, as it did not sound at all the right word) '--but i shall have to ask them what the name of the country is, you know.",204,0.1027,0.1952380952380952,-0.9983634352684021
27,"Please, Ma'am, is this New Zealand or Australia?'","please, madam, is this new zealand or australia?",49,0.3182,0.13636363636363635,-0.9668229818344116
28,"(and she tried
to curtsey as she spoke--fancy CURTSEYING as you're falling
through the air!",(and she tried to curtsey as she spoke--fancy curtseying as you are falling through the air!,91,-0.2244,0.0,-0.9805411100387573
29,Do you think you could manage it?),do you think you could manage it?),34,0.0,0.0,0.5381265878677368
30,"`And what
an ignorant little girl she'll think me for asking!",and what an ignorant little girl she will think me for asking!,61,-0.3382,-0.234375,-0.5134444236755371
31,"No, it'll
never do to ask:  perhaps I shall see it written up somewhere.'","no, it will never do to ask: perhaps i shall see it written up somewhere.",73,0.0,0.0,-0.987194836139679
32,"Down, down, down.","down, down, down.",17,0.0,-0.15555555555555559,-0.9901339411735535
33,"There was nothing else to do, so Alice soon
began talking again.","there was nothing else to do, so alice soon began talking again.",64,0.0,0.0,-0.9705058336257935
34,"`Dinah'll miss me very much to-night, I
should think!'","dinah'll miss me very much to-night, i should think!",54,-0.2244,0.325,-0.5151347517967224
35,(Dinah was the cat.),(dinah was the cat.),20,0.0,0.0,0.8656762838363647
36,"`I hope they'll remember
her saucer of milk at tea-time.",i hope they will remember her saucer of milk at tea-time.,56,0.4404,0.0,0.9777589440345764
37,Dinah my dear!,dinah my dear!,14,0.4389,0.0,0.9986302256584167
38,"I wish you were
down here with me!",i wish you were down here with me!,34,0.4574,-0.19444444444444448,0.6048860549926758
39,"There are no mice in the air, I'm afraid, but
you might catch a bat, and that's very like a mouse, you know.","there are no mice in the air, i am afraid, but you might catch a bat, and that is very like a mouse, you know.",108,0.4748,-0.19999999999999998,0.8891724944114685
40,"But do cats eat bats, I wonder?'","but do cats eat bats, i wonder?",32,0.0,0.0,-0.7533158659934998
41,"And here Alice began to get
rather sleepy, and went on saying to herself, in a dreamy sort of
way, `Do cats eat bats?","and here alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, 'do cats eat bats?",117,0.0,0.0,-0.9301140904426575
42,Do cats eat bats?',do cats eat bats?,18,0.0,0.0,-0.9743877053260803
43,"and sometimes, `Do
bats eat cats?'","and sometimes, 'do bats eat cats?'",34,0.0,0.0,-0.9887463450431824
44,"for, you see, as she couldn't answer either
question, it didn't much matter which way she put it.","for, you see, as she could not answer either question, it did not much matter which way she put it.",97,-0.0191,-0.1,-0.9997124671936035
45,"She felt
that she was dozing off, and had just begun to dream that she
was walking hand in hand with Dinah, and saying to her very
earnestly, `Now, Dinah, tell me the truth:  did you ever eat a
bat?'","she felt that she was dozing off, and had just begun to dream that she was walking hand in hand with dinah, and saying to her very earnestly, 'now, dinah, tell me the truth: did you ever eat a bat?'",199,0.8658,0.2,0.9852845668792725
46,"when suddenly, thump!","when suddenly, thump!",21,0.0,0.0,-0.5271363854408264
47,thump!,thump!,6,0.0,0.0,-0.8635354042053223
48,"down she came upon a heap of
sticks and dry leaves, and the fall was over.","down she came upon a heap of sticks and dry leaves, and the fall was over.",74,0.0,-0.11111111111111112,-0.9972476363182068
49,"Alice was not a bit hurt, and she jumped up on to her feet in a
moment:  she looked up, but it was all dark overhead; before her
was another long passage, and the White Rabbit was still in
sight, hurrying down it.","alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the white rabbit was still in sight, hurrying down it.",213,0.2235,-0.0888888888888889,0.9628807902336121
50,"There was not a moment to be lost:
away went Alice like the wind, and was just in time to hear it
say, as it turned a corner, `Oh my ears and whiskers, how late
it's getting!'","there was not a moment to be lost: away went alice like the wind, and was just in time to hear it say, as it turned a corner, 'oh my ears and whiskers, how late it is getting!'",175,0.126,-0.375,-0.9916335344314575
51,"She was close behind it when she turned the
corner, but the Rabbit was no longer to be seen:  she found
herself in a long, low hall, which was lit up by a row of lamps
hanging from the roof.","she was close behind it when she turned the corner, but the rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",190,-0.6652,-0.15,-0.9906962513923645
52,"There were doors all round the hall, but they were all locked;
and when Alice had been all the way down one side and up the
other, trying every door, she walked sadly down the middle,
wondering how she was ever to get out again.","there were doors all round the hall, but they were all locked; and when alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",228,-0.5719,-0.12722222222222224,-0.9970794320106506
53,"Suddenly she came upon a little three-legged table, all made of
solid glass; there was nothing on it except a tiny golden key,
and Alice's first thought was that it might belong to one of the
doors of the hall; but, alas!","suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and alice's first thought was that it might belong to one of the doors of the hall; but, alas!",221,-0.3903,-0.0171875,-0.5065619349479675
54,"either the locks were too large, or
the key was too small, but at any rate it would not open any of
them.","either the locks were too large, or the key was too small, but at any rate it would not open any of them.",105,0.0,-0.008928571428571432,-0.9997859001159668
55,"However, on the second time round, she came upon a low
curtain she had not noticed before, and behind it was a little
door about fifteen inches high:  she tried the little golden key
in the lock, and to her great delight it fitted!","however, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",231,0.8016,0.04849999999999999,0.9985474944114685
56,"Alice opened the door and found that it led into a small
passage, not much larger than a rat-hole:  she knelt down and
looked along the passage into the loveliest garden you ever saw.","alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw.",183,0.0,-0.13518518518518519,-0.7008018493652344
57,"How she longed to get out of that dark hall, and wander about
among those beds of bright flowers and those cool fountains, but
she could not even get her head through the doorway; `and even if
my head would go through,' thought poor Alice, `it would be of
very little use without my shoulders.","how she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; 'and even if my head would go through,' thought poor alice, 'it would be of very little use without my shoulders.",293,-0.3716,0.05125,-0.9961398839950562
58,"Oh, how I wish
I could shut up like a telescope!","oh, how i wish i could shut up like a telescope!",48,0.6696,0.0,-0.9975982904434204
59,"I think I could, if I only
know how to begin.'","i think i could, if i only know how to begin.",46,0.0,0.0,-0.9927061796188354
60,"For, you see, so many out-of-the-way things
had happened lately, that Alice had begun to think that very few
things indeed were really impossible.","for, you see, so many out-of-the-way things had happened lately, that alice had begun to think that very few things indeed were really impossible.",146,0.0,-0.18166666666666664,-0.9430266618728638
61,"There seemed to be no use in waiting by the little door, so she
went back to the table, half hoping she might find another key on
it, or at any rate a book of rules for shutting people up like
telescopes:  this time she found a little bottle on it, (`which
certainly was not here before,' said Alice,) and round the neck
of the bottle was a paper label, with the words `DRINK ME'
beautifully printed on it in large letters.","there seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ('which certainly was not here before,' said alice,) and round the neck of the bottle was a paper label, with the words 'drink me' beautifully printed on it in large letters.",423,0.8481,0.059656084656084664,-0.9981852769851685
62,"It was all very well to say `Drink me,' but the wise little
Alice was not going to do THAT in a hurry.","it was all very well to say 'drink me,' but the wise little alice was not going to do that in a hurry.",102,0.7047,0.23749999999999996,-0.9934929609298706
63,"`No, I'll look
first,' she said, `and see whether it's marked ""poison"" or not';
for she had read several nice little histories about children who
had got burnt, and eaten up by wild beasts and other unpleasant
things, all because they WOULD not remember the simple rules
their friends had taught them:  such as, that a red-hot poker
will burn you if you hold it too long; and that if you cut your
finger VERY deeply with a knife, it usually bleeds; and she had
never forgotten that, if you drink much from a bottle marked
`poison,' it is almost certain to disagree with you, sooner or
later.","'no, i will look first,' she said, 'and see whether it is marked ""poison"" or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they would not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger very deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked 'poison,' it is almost certain to disagree with you, sooner or later.",591,-0.7322,0.017752100840336137,-0.9732975959777832
64,"However, this bottle was NOT marked `poison,' so Alice ventured
to taste it, and finding it very nice, (it had, in fact, a sort
of mixed flavour of cherry-tart, custard, pine-apple, roast
turkey, toffee, and hot buttered toast,) she very soon finished
it off.","however, this bottle was not marked 'poison,' so alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.",259,0.7134,0.236,0.9907143115997314
65,"*       *       *       *       *       *       *

         *       *       *       *       *       *

     *       *       *       *       *       *       *

  `What a curious feeling!'",* * * * * * * * * * * * * * * * * * * * 'what a curious feeling!',186,0.4753,-0.125,0.9996128082275391
66,"said Alice; `I must be shutting up
like a telescope.'",said alice; 'i must be shutting up like a telescope.',53,0.3612,0.0,-0.9991986155509949
67,"And so it was indeed:  she was now only ten inches high, and
her face brightened up at the thought that she was now the right
size for going through the little door into that lovely garden.","and so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.",189,0.7845,0.12636904761904763,0.9995543956756592
68,"First, however, she waited for a few minutes to see if she was
going to shrink any further:  she felt a little nervous about
this; `for it might end, you know,' said Alice to herself, `in my
going out altogether, like a candle.","first, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said alice to herself, 'in my going out altogether, like a candle.",227,0.1761,-0.034375,-0.985175371170044
69,"I wonder what I should be
like then?'",i wonder what i should be like then?,37,0.3612,0.0,0.9784873127937317
70,"And she tried to fancy what the flame of a candle is
like after the candle is blown out, for she could not remember
ever having seen such a thing.","and she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.",146,0.3612,0.0,-0.9978918433189392
71,"After a while, finding that nothing more happened, she decided
on going into the garden at once; but, alas for poor Alice!","after a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor alice!",122,-0.7959,-0.13333333333333333,-0.9961836338043213
72,"when she got to the door, she found she had forgotten the
little golden key, and when she went back to the table for it,
she found she could not possibly reach it:  she could see it
quite plainly through the glass, and she tried her best to climb
up one of the legs of the table, but it was too slippery;
and when she had tired herself out with trying,
the poor little thing sat down and cried.","when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",394,-0.883,-0.022258297258297262,-0.998444139957428
73,"`Come, there's no use in crying like that!'","'come, there is no use in crying like that!'",43,-0.4753,-0.25,-0.9984084367752075
74,"said Alice to
herself, rather sharply; `I advise you to leave off this minute!'","said alice to herself, rather sharply; 'i advise you to leave off this minute!'",79,-0.126,-0.15625,-0.9687737822532654
75,"She generally gave herself very good advice, (though she very
seldom followed it), and sometimes she scolded herself so
severely as to bring tears into her eyes; and once she remembered
trying to box her own ears for having cheated herself in a game
of croquet she was playing against herself, for this curious
child was very fond of pretending to be two people.","she generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.",362,0.3418,0.20857142857142855,-0.5944430828094482
76,"`But it's no
use now,' thought poor Alice, `to pretend to be two people!","but it is no use now,' thought poor alice, 'to pretend to be two people!",72,-0.8335,-0.5,-0.9984769225120544
77,"Why,
there's hardly enough of me left to make ONE respectable
person!'","why, there is hardly enough of me left to make one respectable person!",70,0.4926,0.20833333333333334,-0.9996665120124817
78,"Soon her eye fell on a little glass box that was lying under
the table:  she opened it, and found in it a very small cake, on
which the words `EAT ME' were beautifully marked in currants.","soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'eat me' were beautifully marked in currants.",187,0.0772,-0.13749999999999998,0.9842457175254822
79,"`Well, I'll eat it,' said Alice, `and if it makes me grow larger,
I can reach the key; and if it makes me grow smaller, I can creep
under the door; so either way I'll get into the garden, and I
don't care which happens!'","'well, i will eat it,' said alice, 'and if it makes me grow larger, i can reach the key; and if it makes me grow smaller, i can creep under the door; so either way i will get into the garden, and i do not care which happens!'",220,-0.1828,0.0,-0.9977288246154785
80,"She ate a little bit, and said anxiously to herself, `Which
way?","she ate a little bit, and said anxiously to herself, 'which way?",64,-0.2263,-0.21875,-0.983411967754364
81,Which way?,which way?,10,0.0,0.0,-0.992482602596283
82,"', holding her hand on the top of her head to
feel which way it was growing, and she was quite surprised to
find that she remained the same size:  to be sure, this generally
happens when one eats cake, but Alice had got so much into the
way of expecting nothing but out-of-the-way things to happen,
that it seemed quite dull and stupid for life to go on in the
common way.",", holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",372,-0.7085,-0.004629629629629619,-0.9978401064872742
83,"So she set to work, and very soon finished off the cake.","so she set to work, and very soon finished off the cake.",56,0.0,0.2,0.9847983121871948
84,"*       *       *       *       *       *       *

         *       *       *       *       *       *

     *       *       *       *       *       *       *




                           CHAPTER II

                        The Pool of Tears


  `Curiouser and curiouser!'",* * * * * * * * * * * * * * * * * * * * chapter ii the pool of tears 'curiouser and curiouser!',273,-0.2942,0.0,0.997123122215271
85,"cried Alice (she was so much
surprised, that for the moment she quite forgot how to speak good
English); `now I'm opening out like the largest telescope that
ever was!","cried alice (she was so much surprised, that for the moment she quite forgot how to speak good english); 'now i am opening out like the largest telescope that ever was!",167,0.6452,0.26666666666666666,0.9982154369354248
86,"Good-bye, feet!'","good-bye, feet!",16,0.0,0.0,0.9997020959854126
87,"(for when she looked down at her
feet, they seemed to be almost out of sight, they were getting so
far off).","(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).",108,0.0,-0.02777777777777779,-0.9965125918388367
88,"`Oh, my poor little feet, I wonder who will put on
your shoes and stockings for you now, dears?","oh, my poor little feet, i wonder who will put on your shoes and stockings for you now, dears?",95,-0.0516,-0.29375,-0.9668183326721191
89,"I'm sure _I_ shan't
be able!",i am sure _i_ shall not be able!,28,0.3802,0.5625,-0.9998024106025696
90,"I shall be a great deal too far off to trouble myself
about you:  you must manage the best way you can; --but I must be
kind to them,' thought Alice, `or perhaps they won't walk the
way I want to go!","i shall be a great deal too far off to trouble myself about you: you must manage the best way you can; --but i must be kind to them,' thought alice, 'or perhaps they will not walk the way i want to go!",199,0.8639,0.49000000000000005,0.9512874484062195
91,"Let me see:  I'll give them a new pair of
boots every Christmas.'",let me see: i will give them a new pair of boots every christmas.,65,0.0,0.13636363636363635,0.9905965328216553
92,And she went on planning to herself how she would manage it.,and she went on planning to herself how she would manage it.,60,0.0,0.0,-0.9950945973396301
93,"`They must go by the carrier,' she thought; `and how funny it'll
seem, sending presents to one's own feet!","'they must go by the carrier,' she thought; 'and how funny it will seem, sending presents to one's own feet!",106,0.4926,0.5,0.9981463551521301
94,"And how odd the
directions will look!",and how odd the directions will look!,37,-0.3802,-0.20833333333333331,-0.9983367323875427
95,"ALICE'S RIGHT FOOT, ESQ.","alice's right foot, esq.",24,0.0,0.2857142857142857,0.959217369556427
96,"HEARTHRUG,
                    NEAR THE FENDER,
                        (WITH ALICE'S LOVE).","hearthrug, near the fender, (with alice's love).",92,0.6369,0.3,0.992712676525116
97,"Oh dear, what nonsense I'm talking!'","oh dear, what nonsense i am talking!",36,-0.1007,0.0,-0.9996618628501892
98,"Just then her head struck against the roof of the hall:  in
fact she was now more than nine feet high, and she at once took
up the little golden key and hurried off to the garden door.","just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",184,-0.25,0.1545,-0.994300127029419
99,Poor Alice!,poor alice!,11,-0.5255,-0.5,-0.9995812177658081
100,"It was as much as she could do, lying down on one
side, to look through into the garden with one eye; but to get
through was more hopeless than ever:  she sat down and began to
cry again.","it was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.",187,-0.8954,0.09722222222222221,-0.997892439365387
101,"`You ought to be ashamed of yourself,' said Alice, `a great
girl like you,' (she might well say this), `to go on crying in
this way!","you ought to be ashamed of yourself,' said alice, 'a great girl like you,' (she might well say this), 'to go on crying in this way!",132,0.4199,0.275,-0.9806954264640808
102,"Stop this moment, I tell you!'","stop this moment, i tell you!",30,-0.3595,0.0,-0.9153707027435303
103,"But she went on all
the same, shedding gallons of tears, until there was a large pool
all round her, about four inches deep and reaching half down the
hall.","but she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.",156,-0.0387,-0.051322751322751325,-0.9634968042373657
104,"After a time she heard a little pattering of feet in the
distance, and she hastily dried her eyes to see what was coming.","after a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.",121,0.0,-0.19375,-0.9979360103607178
105,"It was the White Rabbit returning, splendidly dressed, with a
pair of white kid gloves in one hand and a large fan in the
other:  he came trotting along in a great hurry, muttering to
himself as he came, `Oh!","it was the white rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, 'oh!",208,0.9184,0.32043650793650796,0.9978309273719788
106,"the Duchess, the Duchess!","the duchess, the duchess!",25,0.0,0.0,0.9992507696151733
107,Oh!,oh!,3,0.0,0.0,0.9987006783485413
108,"won't she
be savage if I've kept her waiting!'",will not she be savage if i have kept her waiting!,46,0.416,0.0,-0.9129775166511536
109,"Alice felt so desperate
that she was ready to ask help of any one; so, when the Rabbit
came near her, she began, in a low, timid voice, `If you please,
sir--'  The Rabbit started violently, dropped the white kid
gloves and the fan, and skurried away into the darkness as hard
as he could go.","alice felt so desperate that she was ready to ask help of any one; so, when the rabbit came near her, she began, in a low, timid voice, 'if you please, sir--' the rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.",291,-0.541,-0.19880952380952382,-0.9953500628471375
110,"Alice took up the fan and gloves, and, as the hall was very
hot, she kept fanning herself all the time she went on talking:
`Dear, dear!","alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: 'dear, dear!",136,0.7777,0.40625,0.9926718473434448
111,How queer everything is to-day!,how queer everything is to-day!,31,0.0,0.0,-0.9960635900497437
112,"And yesterday
things went on just as usual.",and yesterday things went on just as usual.,43,0.0,-0.25,0.9050815105438232
113,"I wonder if I've been changed in
the night?",i wonder if i have been changed in the night?,43,0.0,0.0,-0.9949681162834167
114,"Let me think:  was I the same when I got up this
morning?",let me think: was i the same when i got up this morning?,57,0.0,0.0,-0.9978505969047546
115,"I almost think I can remember feeling a little
different.",i almost think i can remember feeling a little different.,57,0.128,-0.09375,0.9697281718254089
116,"But if I'm not the same, the next question is, Who in
the world am I?","but if i am not the same, the next question is, who in the world am i?",69,0.0,0.0,-0.9978669285774231
117,"Ah, THAT'S the great puzzle!'","ah, that is the great puzzle!",29,0.6588,1.0,0.9997726082801819
118,"And she began
thinking over all the children she knew that were of the same age
as herself, to see if she could have been changed for any of
them.","and she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.",146,0.0,0.0,-0.9926420450210571
119,"`I'm sure I'm not Ada,' she said, `for her hair goes in such
long ringlets, and mine doesn't go in ringlets at all; and I'm
sure I can't be Mabel, for I know all sorts of things, and she,
oh!","i am sure i am not ada,' she said, 'for her hair goes in such long ringlets, and mine does not go in ringlets at all; and i am sure i cannot be mabel, for i know all sorts of things, and she, oh!",191,0.5983,0.26875,-0.9941388368606567
120,she knows such a very little!,she knows such a very little!,29,0.0,-0.15234375,0.9939407706260681
121,"Besides, SHE'S she, and I'm I,
and--oh dear, how puzzling it all is!","besides, she is she, and i am i, and--oh dear, how puzzling it all is!",68,0.4389,0.0,-0.9906086325645447
122,"I'll try if I know all the
things I used to know.",i will try if i know all the things i used to know.,49,0.0,0.0,-0.9359233379364014
123,"Let me see:  four times five is twelve,
and four times six is thirteen, and four times seven is--oh dear!","let me see: four times five is twelve, and four times six is thirteen, and four times seven is--oh dear!",105,0.4389,0.0,0.9938092827796936
124,I shall never get to twenty at that rate!,i shall never get to twenty at that rate!,41,0.0,0.0,-0.993152916431427
125,"However, the
Multiplication Table doesn't signify:  let's try Geography.","however, the multiplication table does not signify: let us try geography.",72,0.0,0.0,-0.9992029666900635
126,"London is the capital of Paris, and Paris is the capital of Rome,
and Rome--no, THAT'S all wrong, I'm certain!","london is the capital of paris, and paris is the capital of rome, and rome--no, that is all wrong, i am certain!",110,-0.3164,-0.11607142857142858,0.9627732038497925
127,"I must have been
changed for Mabel!",i must have been changed for mabel!,35,0.0,0.0,-0.996489942073822
